Hongbin Li prec: 0.9538461538461539, rec: 0.6676456191874695, f1: 0.7854880506766484
Hua Bai prec: 0.7779862414008756, rec: 0.3737980769230769, f1: 0.5049725999594074
Kexin Xu prec: 0.9510732323232324, rec: 0.9669448010269577, f1: 0.9589433481858689
Lin Huang prec: 0.6176470588235294, rec: 0.45951859956236324, f1: 0.5269761606022585
Lu Han prec: 0.4620253164556962, rec: 0.23843222645617856, f1: 0.31454219030520647
Min Zheng prec: 0.39764461378593696, rec: 0.3459915611814346, f1: 0.37002417405318294
Min Zheng prec: 0.45622119815668205, rec: 0.298372513562387, f1: 0.36078717201166177
Qiang Shi prec: 0.6404145077720207, rec: 0.2843994477680626, f1: 0.39388145315487566
Rong Yu prec: 0.9575584167858846, rec: 0.5605806811836963, f1: 0.7071667547103363
Tao Deng prec: 0.8252688172043011, rec: 0.5325238508239376, f1: 0.647337901950448
Wei Quan prec: 0.8663967611336032, rec: 0.6312684365781711, f1: 0.7303754266211605
Xu Xu prec: 0.7527964205816555, rec: 0.41957605985037405, f1: 0.5388310648518816
Yanqing Wang prec: 0.9191176470588235, rec: 0.9259259259259259, f1: 0.922509225092251
Yong Tian prec: 0.8123123123123123, rec: 0.47043478260869565, f1: 0.5958149779735682
